fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len
"730","21461","45808",Woodland,Assumed woodland,Scotland,437.779762731,0.5099744632,5099.7445526123,437.779762733819
"731","21463","45810",Woodland,Assumed woodland,Scotland,746.596010384,2.11857337965,21185.7338409424,746.59601038399
"732","21465","45812",Woodland,Assumed woodland,Scotland,950.05527228,2.1850856012,21850.8560943604,950.055272280842
"733","21466","45813",Woodland,Assumed woodland,Scotland,492.960479459,1.06824603695,10682.4604187012,492.96047945684
"734","21468","45815",Woodland,Assumed woodland,Scotland,3742.14456846,14.1027432307,141027.432403564,3742.14456846189
"735","21473","45820",Woodland,Assumed woodland,Scotland,522.198796584,1.02225778885,10222.5779266357,522.198796587147
"736","21476","45823",Woodland,Assumed woodland,Scotland,458.62244258,0.77013861405,7701.38616943359,458.622442579752
"737","21478","45825",Woodland,Assumed woodland,Scotland,236.293243556,0.1789212382,1789.21235656738,236.293243556454
"738","21480","45827",Woodland,Assumed woodland,Scotland,624.294696926,1.62505510735,16250.5510864258,624.29469692653
"739","21483","45830",Woodland,Assumed woodland,Scotland,628.570837923,0.93649146895,9364.91471862793,628.570837921735
"740","21493","45840",Woodland,Assumed woodland,Scotland,223.853672324,0.2859195648,2859.19563293457,223.85367232447
"741","21497","45844",Woodland,Assumed woodland,Scotland,229.474616112,0.19912482115,1991.24821472168,229.47461611178
"742","21500","45847",Woodland,Assumed woodland,Scotland,569.331000264,1.04928594075,10492.8594055176,569.331000264928
"743","21528","45875",Woodland,Assumed woodland,Scotland,282.393495773,0.39077695355,3907.76957702637,282.39349577293
"744","21529","45876",Woodland,Assumed woodland,Scotland,448.419368465,0.459658291,4596.5830078125,448.419368462065
"745","21531","45878",Woodland,Assumed woodland,Scotland,208.613004547,0.27205232105,2720.52322387695,208.613004547212
"746","21536","45883",Woodland,Assumed woodland,Scotland,1418.80585975,3.7818262353,37818.2624816895,1418.80585975058
"747","21547","45894",Woodland,Assumed woodland,Scotland,1462.16854028,8.89371581335,88937.1580657959,1462.16854027582
"748","21548","45895",Woodland,Assumed woodland,Scotland,2205.34690068,4.2819959425,42819.9593658447,2205.34690067347
"749","21551","45898",Woodland,Assumed woodland,Scotland,364.427216695,0.521472772001,5214.72772216797,364.427216696285
"750","21555","45902",Woodland,Assumed woodland,Scotland,1457.42383225,6.0893722833,60893.7227630615,1457.42383224796
"751","21558","45905",Woodland,Assumed woodland,Scotland,1023.56557227,6.9021042273,69021.0422363281,1023.56557227363
"752","21562","45909",Woodland,Assumed woodland,Scotland,2334.27165012,11.054650107,110546.50100708,2334.27165011929
"753","21563","45910",Woodland,Assumed woodland,Scotland,699.215742263,2.9272379805,29272.3797454834,699.21574226099
"754","21566","45913",Woodland,Assumed woodland,Scotland,472.449493314,0.77930531,7793.05310058594,472.449493315578
"755","21579","45926",Woodland,Assumed woodland,Scotland,985.692281015,5.5641717854,55641.7178497314,985.692281015914
"756","21594","45941",Woodland,Assumed woodland,Scotland,1092.32506584,7.1070410083,71070.4101257324,1092.32506583989
"757","21595","45942",Woodland,Assumed woodland,Scotland,1038.13024977,6.5573680204,65573.6802215576,1038.13024976792
"758","21597","45944",Woodland,Assumed woodland,Scotland,770.307831156,1.2263487828,12263.48777771,770.307831153931
"759","21600","45947",Woodland,Assumed woodland,Scotland,1355.18550801,2.9764419659,29764.4196929932,1355.18550800796
