fid,OBJECTID_1,OBJECTID,CATEGORY,IFT_IOA,COUNTRY,Shape_Leng,Area_ha,Shape__Are,Shape__Len,x_coord,y_coord,satellite1,satellite2
"1000","23472","47819",Woodland,Assumed woodland,Scotland,1095.64327624,2.56240992975,25624.0992431641,1095.64327624377,307346.163192,662594.742393,-0.075548954308033,-0.0593741275370121
"1001","23474","47821",Woodland,Assumed woodland,Scotland,1202.57570051,9.41394573375,94139.4573822021,1202.57570050515,314218.092263,662487.126131,-0.0396560281515121,-0.0686473771929741
"1002","23475","47822",Woodland,Assumed woodland,Scotland,1169.05718141,2.78138462975,27813.846282959,1169.05718140661,287760.155985,662608.421424,-0.0923395901918411,-0.0233295075595379
"1003","23477","47824",Woodland,Assumed woodland,Scotland,203.779482899,0.18945292215,1894.52922058105,203.779482897739,278786.673865,662725.435823,0.0541840046644211,-0.0221075899899006
"1004","23481","47828",Woodland,Assumed woodland,Scotland,580.658928893,1.06097704365,10609.7704162598,580.658928893674,295079.634743,662713.576706,0.0287506338208914,-0.000850019394420087
"1005","23482","47829",Woodland,Assumed woodland,Scotland,283.505560113,0.3662582743,3662.5827331543,283.505560115442,326632.586382,662771.584328,0.0994791835546494,-0.00438381684944034
"1006","23485","47832",Woodland,Assumed woodland,Scotland,499.151136712,0.86476692855,8647.66925048828,499.151136713523,261983.02416,662765.029085,0.929210603237152,0.508985757827759
"1007","23486","47833",Woodland,Assumed woodland,Scotland,1022.96292589,2.6315123765,26315.123840332,1022.96292589117,279117.931755,662763.734599,-0.0624214224517345,-0.0243171621114016
"1008","23487","47834",Woodland,Assumed woodland,Scotland,960.725994558,1.99895469935,19989.5469665527,960.725994556403,250927.551336,662798.8775,0.0357390865683556,-0.0180883817374706
"1009","23488","47835",Woodland,Assumed woodland,Scotland,927.980223812,1.41840094467,14184.0091094971,927.948588626094,289508.168446,662713.926351,0.1710504591465,0.153373658657074
"1010","23489","47836",Woodland,Assumed woodland,Scotland,3918.72156162,9.03387079295,90338.7080688477,3918.72156162014,306236.877605,662016.585772,-0.021164221689105,0.00975667592138052
"1011","23490","47837",Woodland,Assumed woodland,Scotland,559.48913974,0.76793569685,7679.35704040527,559.489139738256,278502.289602,662832.986077,-0.0220390539616346,0.0762004256248474
"1012","23491","47838",Woodland,Assumed woodland,Scotland,335.059305546,0.70673503865,7067.35038757324,335.059305548104,269619.119127,662850.246487,0.0425424203276634,0.033604945987463
"1013","23492","47839",Woodland,Assumed woodland,Scotland,356.649630454,0.58119824475,5811.98243713379,356.649630453809,307909.426874,662851.974557,-0.0824594125151634,-0.0446321330964565
