idx,n_components,max_iter,scale,fit_time,score_time,test_root_mean_squared_error,test_mean_absolute_error,test_r2_score
177,23,50,False,0.005604219436645508,0.0006009578704833984,0.6222410333475199,0.3871839035813894,0.024260935293062058
178,23,100,True,0.0062484264373779295,0.00020012855529785156,0.62533053657035,0.39103827996736185,0.0157490058081994
179,23,100,False,0.005404424667358398,0.0006006717681884766,0.6222410333475199,0.3871839035813894,0.024260935293062058
180,23,500,True,0.00560450553894043,0.0008005142211914062,0.62533053657035,0.39103827996736185,0.0157490058081994
181,23,500,False,0.005404472351074219,0.00040035247802734376,0.6222410333475199,0.3871839035813894,0.024260935293062058
182,23,1000,True,0.005604743957519531,0.0006001949310302735,0.62533053657035,0.39103827996736185,0.0157490058081994
183,23,1000,False,0.005404949188232422,0.000600433349609375,0.6222410333475199,0.3871839035813894,0.024260935293062058
184,24,50,True,0.005805253982543945,0.0004002571105957031,0.5936948062820453,0.35247352300627527,0.1099609940508576
185,24,50,False,0.006005096435546875,0.00040030479431152344,0.6207924652830149,0.3853832849521633,0.028576625979831637
186,24,100,True,0.005803442001342774,0.0004004955291748047,0.5936948062820453,0.35247352300627527,0.1099609940508576
187,24,100,False,0.005582571029663086,0.00040073394775390624,0.6207924652830149,0.3853832849521633,0.028576625979831637
188,24,500,True,0.005805110931396485,0.0004002094268798828,0.5936948062820453,0.35247352300627527,0.1099609940508576
189,24,500,False,0.005605220794677734,0.0005998611450195312,0.6207924652830149,0.3853832849521633,0.028576625979831637
190,24,1000,True,0.005804634094238282,0.0008009910583496094,0.5936948062820453,0.35247352300627527,0.1099609940508576
191,24,1000,False,0.005204963684082031,0.0005999088287353515,0.6207924652830149,0.3853832849521633,0.028576625979831637
192,25,50,True,0.006005287170410156,0.0006002902984619141,0.6163924897986564,0.37993970148018674,0.043189046051393884
193,25,50,False,0.005804586410522461,0.0006008625030517578,0.639391626024951,0.4088216514308309,-0.030256414786297082
194,25,100,True,0.005801582336425781,0.0004001617431640625,0.6163924897986564,0.37993970148018674,0.043189046051393884
195,25,100,False,0.005604696273803711,0.0008008003234863282,0.639391626024951,0.4088216514308309,-0.030256414786297082
196,25,500,True,0.006405544281005859,0.00040035247802734376,0.6163924897986564,0.37993970148018674,0.043189046051393884
197,25,500,False,0.0064051151275634766,0.00040030479431152344,0.639391626024951,0.4088216514308309,-0.030256414786297082
198,25,1000,True,0.006005001068115234,0.0008004188537597656,0.6163924897986564,0.37993970148018674,0.043189046051393884
199,25,1000,False,0.005805301666259766,0.0004002571105957031,0.639391626024951,0.4088216514308309,-0.030256414786297082
200,26,50,True,0.006205272674560547,0.00040044784545898435,0.6346366075792472,0.40276362367969537,-0.015081093354125419
201,26,50,False,0.00660548210144043,0.0008009433746337891,0.7580952248402609,0.5747083699256058,-0.450256541995285
202,26,100,True,0.006805562973022461,0.0008008003234863282,0.6346366075792472,0.40276362367969537,-0.015081093354125419
203,26,100,False,0.005604839324951172,0.0010006427764892578,0.7580952248402609,0.5747083699256058,-0.450256541995285
204,26,500,True,0.0060046672821044925,0.0006008625030517578,0.6346366075792472,0.40276362367969537,-0.015081093354125419
205,26,500,False,0.006405496597290039,0.0006004810333251953,0.7580952248402609,0.5747083699256058,-0.450256541995285
206,26,1000,True,0.005804586410522461,0.00040044784545898435,0.6346366075792472,0.40276362367969537,-0.015081093354125419
207,26,1000,False,0.006005716323852539,0.00040030479431152344,0.7580952248402609,0.5747083699256058,-0.450256541995285
208,27,50,True,0.006004762649536133,0.0006003856658935546,0.870197596566644,0.7572438570703637,-0.9121286182200008
209,27,50,False,0.005998086929321289,0.0008008480072021484,0.9183943422150208,0.8434481678125607,-1.130505314067214
210,27,100,True,0.0064051151275634766,0.0006005287170410157,0.870197596566644,0.7572438570703637,-0.9121286182200008
211,27,100,False,0.00620574951171875,0.0002002716064453125,0.9183943422150208,0.8434481678125607,-1.130505314067214
212,27,500,True,0.006205177307128907,0.00040035247802734376,0.870197596566644,0.7572438570703637,-0.9121286182200008
213,27,500,False,0.006605625152587891,0.0004004955291748047,0.9183943422150208,0.8434481678125607,-1.130505314067214
214,27,1000,True,0.006405782699584961,0.0008007049560546875,0.870197596566644,0.7572438570703637,-0.9121286182200008
215,27,1000,False,0.006005334854125977,0.0004002571105957031,0.9183943422150208,0.8434481678125607,-1.130505314067214
216,28,50,True,0.008407402038574218,0.00040035247802734376,1.153584779509124,1.3307578435151142,-2.364005496227037
217,28,50,False,0.006605625152587891,0.00040035247802734376,1.1535847801313384,1.330757844950668,-2.3640055000673086
218,28,100,True,0.007806634902954102,0.0008011817932128906,1.153584779509124,1.3307578435151142,-2.364005496227037
219,28,100,False,0.006805801391601562,0.0006007194519042969,1.1535847801313384,1.330757844950668,-2.3640055000673086
220,28,500,True,0.006405544281005859,0.0008006095886230469,1.153584779509124,1.3307578435151142,-2.364005496227037
221,28,500,False,0.006204986572265625,0.0006007194519042969,1.1535847801313384,1.330757844950668,-2.3640055000673086
222,28,1000,True,0.006405925750732422,0.00040035247802734376,1.153584779509124,1.3307578435151142,-2.364005496227037
223,28,1000,False,0.007006263732910157,0.000400543212890625,1.1535847801313384,1.330757844950668,-2.3640055000673086
